Course,Assessment Type,Weighting,Status,Assessment Strategy
LIFE375_UNDERSTANDING DISEASE- AN INTEGRATED APPROACH,Coursework,40 %,Approved,"The in-course assessment will test the students' knowledge and understanding of the content across the range of subjects studied in the module. The final assessment will also be designed to test knowledge and understanding, but will contain a greater element of synthesis and evaluation of material across the module. The format of both assessments will be open-book essay. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency and confidence in our students. Skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE375_UNDERSTANDING DISEASE- AN INTEGRATED APPROACH,Coursework,60 %,Approved,"The in-course assessment will test the students' knowledge and understanding of the content across the range of subjects studied in the module. The final assessment will also be designed to test knowledge and understanding, but will contain a greater element of synthesis and evaluation of material across the module. The format of both assessments will be open-book essay. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency and confidence in our students. Skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE242_E-BIOLOGY- INFORMATICS FOR LIFE SCIENCES (S2),"Written exam, unseen, not managed by SAS",33 %,Approved,"Three  equally weighted on-line mcq’s exams, one at the end of each block. The questions (10 in each MCQ exam) will require interpretation of bioinformatics analysis outputs. The students will need to interpret the outputs and understand their significance. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE242_E-BIOLOGY- INFORMATICS FOR LIFE SCIENCES (S2),"Written exam, unseen, not managed by SAS",34 %,Approved,"Three  equally weighted on-line mcq’s exams, one at the end of each block. The questions (10 in each MCQ exam) will require interpretation of bioinformatics analysis outputs. The students will need to interpret the outputs and understand their significance. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE242_E-BIOLOGY- INFORMATICS FOR LIFE SCIENCES (S2),"Written exam, unseen, not managed by SAS",33 %,Approved,"Three  equally weighted on-line mcq’s exams, one at the end of each block. The questions (10 in each MCQ exam) will require interpretation of bioinformatics analysis outputs. The students will need to interpret the outputs and understand their significance. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE240_PATHOLOGICAL BASIS OF ANIMAL DISEASES,Coursework,40 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students write two essays per assessment. Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning. Assessment 1 will cover LO1, the host response part of LO4 and S1. Assessment 1 will be coursework worth 40%. Students will be asked to write two essays applying fundamental knowledge acquired from lectures in Weeks 1-5 and additional reading to the analysis of a published paper or dataset, related to either a bacterial, viral, or parasitic disease. Assessment 2 will cover all LOs and S1. Assessment 2 will be coursework worth 60%. Students will be asked to write two essays applying fundamental knowledge acquired from lectures throughout the course and additional reading to the analysis of a published paper or dataset, relating to the pathology of an animal disease. There will be synchronous opportunities for students to learn from and build upon feedback from the first assessment. The students are also encouraged to engage with a formative assessment to aid essay writing skills. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE240_PATHOLOGICAL BASIS OF ANIMAL DISEASES,Coursework,60 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students write two essays per assessment. Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning. Assessment 1 will cover LO1, the host response part of LO4 and S1. Assessment 1 will be coursework worth 40%. Students will be asked to write two essays applying fundamental knowledge acquired from lectures in Weeks 1-5 and additional reading to the analysis of a published paper or dataset, related to either a bacterial, viral, or parasitic disease. Assessment 2 will cover all LOs and S1. Assessment 2 will be coursework worth 60%. Students will be asked to write two essays applying fundamental knowledge acquired from lectures throughout the course and additional reading to the analysis of a published paper or dataset, relating to the pathology of an animal disease. There will be synchronous opportunities for students to learn from and build upon feedback from the first assessment. The students are also encouraged to engage with a formative assessment to aid essay writing skills. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS103_INTRODUCTORY PRACTICAL SKILLS IN BIOSCIENCES I,Coursework,40 %,Approved,"The module will be assessed via three assessment components.  Formative assessment opportunities will be provided. Variety of modes of assessment are employed keeping in view inclusivity and diversity. The mode of assessments include: 1. Continuous assessment in the form of a series of post lab online tests based on the practical and quantitative skills delivered in the sessions for each week (weighting 40%) which assesses the student's relevant academic knowledge, as well as enquiry-based analytical skills (Research connected teaching, Digital Fluency - Liverpool Curriculum). Open book and resit may take a different format. 2. Practical skills assessment (30%) based on skills acquired in practical sessions, formative feedback given immediately and verbally, multiple attempts throughout  semester (Authentic assessment- Liverpool Curriculum). Students are tested for their competency in a series of key lab skills including pipetting and the use of a spectrophotometer, centrifuge and microscope for example. Students are tested in-person, in the lab by being asked to demonstrate their competency and this is marked by a demonstrator. Resit may take a different format. 3. Technical abstract writing (weighting 30%) based on the skills to evaluate and interpret and communicate qualitative/ quantitative data (Research connected teaching - Liverpool Curriculum). Resit allowed. Feedback will be provided to all assessments. Pass mark for all assessments is 40%. Standard UoL penalty applies for late submission of all assessments. Assessments are anonymous. Resit strategy: There is a resit opportunity for each assessment. These will use the same format and content as the original assessment, but with substantial revision required and will be submitted during the reassessment window and capped at 40% (pass mark). Learning materials will be available to students via the University Virtual Learning environment. Details on the assessments are on the table below. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS103_INTRODUCTORY PRACTICAL SKILLS IN BIOSCIENCES I,Practical assessment,30 %,Approved,"The module will be assessed via three assessment components.  Formative assessment opportunities will be provided. Variety of modes of assessment are employed keeping in view inclusivity and diversity. The mode of assessments include: 1. Continuous assessment in the form of a series of post lab online tests based on the practical and quantitative skills delivered in the sessions for each week (weighting 40%) which assesses the student's relevant academic knowledge, as well as enquiry-based analytical skills (Research connected teaching, Digital Fluency - Liverpool Curriculum). Open book and resit may take a different format. 2. Practical skills assessment (30%) based on skills acquired in practical sessions, formative feedback given immediately and verbally, multiple attempts throughout  semester (Authentic assessment- Liverpool Curriculum). Students are tested for their competency in a series of key lab skills including pipetting and the use of a spectrophotometer, centrifuge and microscope for example. Students are tested in-person, in the lab by being asked to demonstrate their competency and this is marked by a demonstrator. Resit may take a different format. 3. Technical abstract writing (weighting 30%) based on the skills to evaluate and interpret and communicate qualitative/ quantitative data (Research connected teaching - Liverpool Curriculum). Resit allowed. Feedback will be provided to all assessments. Pass mark for all assessments is 40%. Standard UoL penalty applies for late submission of all assessments. Assessments are anonymous. Resit strategy: There is a resit opportunity for each assessment. These will use the same format and content as the original assessment, but with substantial revision required and will be submitted during the reassessment window and capped at 40% (pass mark). Learning materials will be available to students via the University Virtual Learning environment. Details on the assessments are on the table below. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS103_INTRODUCTORY PRACTICAL SKILLS IN BIOSCIENCES I,Coursework,30 %,Approved,"The module will be assessed via three assessment components.  Formative assessment opportunities will be provided. Variety of modes of assessment are employed keeping in view inclusivity and diversity. The mode of assessments include: 1. Continuous assessment in the form of a series of post lab online tests based on the practical and quantitative skills delivered in the sessions for each week (weighting 40%) which assesses the student's relevant academic knowledge, as well as enquiry-based analytical skills (Research connected teaching, Digital Fluency - Liverpool Curriculum). Open book and resit may take a different format. 2. Practical skills assessment (30%) based on skills acquired in practical sessions, formative feedback given immediately and verbally, multiple attempts throughout  semester (Authentic assessment- Liverpool Curriculum). Students are tested for their competency in a series of key lab skills including pipetting and the use of a spectrophotometer, centrifuge and microscope for example. Students are tested in-person, in the lab by being asked to demonstrate their competency and this is marked by a demonstrator. Resit may take a different format. 3. Technical abstract writing (weighting 30%) based on the skills to evaluate and interpret and communicate qualitative/ quantitative data (Research connected teaching - Liverpool Curriculum). Resit allowed. Feedback will be provided to all assessments. Pass mark for all assessments is 40%. Standard UoL penalty applies for late submission of all assessments. Assessments are anonymous. Resit strategy: There is a resit opportunity for each assessment. These will use the same format and content as the original assessment, but with substantial revision required and will be submitted during the reassessment window and capped at 40% (pass mark). Learning materials will be available to students via the University Virtual Learning environment. Details on the assessments are on the table below. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. FAQSC will be informed in advance of any such changes, so that approval can be given."
